"provider","name","station_id","latitude","longitude","docks","duration_minutes","start_station_count","year","end_count"
"santander","Houndsditch, Aldgate",779,"51.514449","-0.077179","28","14.24","10658",2017,"11878"
"santander","Great Dover Street, The Borough",61,"51.497383","-0.089447","32","17.58","11515",2017,"10433"
"santander","Hoxton Street, Hoxton",588,"51.52959","-0.0801","27","18.04","7853",2017,"6537"
"santander","Abyssinia Close, Clapham Junction",776,"51.460333","-0.167029","19","30.27","5040",2017,"5351"
"santander","Drayton Gardens, West Chelsea",589,"51.487196","-0.179369","17","16.10","16015",2017,"16325"
"santander","Kingsway, Covent Garden",283,"51.514409","-0.118479","16","17.98","3992",2017,"3851"
"santander","Curzon Street, Mayfair",49,"51.507069","-0.145904","15","23.48","8766",2017,"9849"
"santander","Turquoise Island, Notting Hill",379,"51.514312","-0.200838","21","22.57","14165",2017,"13525"
"santander","Gloucester Terrace, Bayswater",176,"51.517919","-0.188099","23","20.17","8635",2017,"7724"
"santander","Nantes Close, Wandsworth",623,"51.461931","-0.180792","21","18.72","3603",2017,"3339"
"santander","Royal Avenue 1, Chelsea",250,"51.489932","-0.162727","10","19.85","7795",2017,"8407"
"santander","Craven Street, Strand",341,"51.508103","-0.126021","21","22.64","37403",2017,"39583"
"santander","Eel Brook Common, Walham Green",618,"51.47626","-0.193254","23","17.67","8249",2017,"7602"
"santander","Fournier Street, Whitechapel",508,"51.519362","-0.074431","18","18.48","18104",2017,"18816"
"santander","Jubilee Street, Stepney",450,"51.515975","-0.053177","28","14.50","10177",2017,"8403"
"santander","Santos Road, Wandsworth",767,"51.45706","-0.200806","30","23.06","2184",2017,"1788"
"santander","Hortensia Road, West Brompton",739,"51.481766","-0.185274","28","18.88","8416",2017,"8021"
"santander","Hampstead Road (Cartmel), Euston",21,"51.530078","-0.138846","15","18.89","4773",2017,"3952"
"santander","Rectory Square, Stepney",561,"51.518369","-0.043371","21","16.48","7306",2017,"6562"
"santander","Lincoln's Inn Fields, Holborn",809,"51.516278","-0.118273","28","16.61","10631",2017,"11425"
"santander","Malet Street, Bloomsbury",12,"51.521681","-0.130432","48","14.69","28867",2017,"29267"
"santander","Montserrat Road , Putney",709,"51.463211","-0.215551","23","28.43","4666",2017,"5327"
"santander","Christian Street, Whitechapel",489,"51.513074","-0.064094","34","13.66","16389",2017,"13002"
"santander","Ebury Bridge, Pimlico",424,"51.490491","-0.149186","29","19.80","15291",2017,"14388"
"santander","Beaumont Street, Marylebone",242,"51.522008","-0.151359","23","18.97","12382",2017,"12198"
"santander","Victoria & Albert Museum, South Kensington",781,"51.495898","-0.173009","28","23.52","11778",2017,"12925"
"santander","Castlehaven Road, Camden Town",457,"51.542138","-0.145393","29","33.79","18554",2017,"17864"
"santander","Sloane Avenue, Knightsbridge",163,"51.493185","-0.167895","27","19.69","15372",2017,"15557"
"santander","Mudchute DLR, Cubitt Town",586,"51.490645","-0.014582","31","29.63","3309",2017,"3401"
"santander","Parkway, Camden Town",456,"51.538071","-0.144664","33","28.54","10827",2017,"11573"
"santander","Broadwick Street, Soho",260,"51.513685","-0.135581","18","20.73","14991",2017,"15488"
"santander","Ossulston Street, Somers Town",797,"51.5293","-0.128279","30","17.73","12014",2017,"11854"
"santander","Queen's Gate (South), South Kensington",187,"51.49248","-0.178433","25","20.10","11824",2017,"11874"
"santander","Lambeth North Station, Waterloo",284,"51.499141","-0.112031","20","17.29","9296",2017,"9062"
"santander","Clarkson Street, Bethnal Green",507,"51.528692","-0.059091","30","18.59","6168",2017,"5439"
"santander","Finsbury Circus, Liverpool Street",55,"51.517075","-0.086686","33","14.90","37627",2017,"42176"
"santander","Westferry DLR, Limehouse",510,"51.509303","-0.025996","39","22.50","14828",2017,"15899"
"santander","Gaywood Street, Elephant & Castle",549,"51.49605","-0.104193","43","18.47","8208",2017,"7794"
"santander","Gwendwr Road, West Kensington",770,"51.491026","-0.209121","30","20.08","6916",2017,"6679"
"santander","Ashley Crescent, Battersea",670,"51.467186","-0.152249","28","21.95","9203",2017,"8074"
"santander","Risinghill Street, Angel",339,"51.53332","-0.111781","25","15.26","9133",2017,"5373"
"santander","Chadwell Street, Angel",254,"51.530516","-0.106408","18","15.11","16980",2017,"14766"
"santander","Disraeli Road, Putney",708,"51.461611","-0.216146","33","27.23","7422",2017,"7730"
"santander","Dunston Road , Haggerston",717,"51.536585","-0.075886","42","21.61","25635",2017,"23303"
"santander","Lansdowne Road, Ladbroke Grove",622,"51.507481","-0.205536","29","16.30","13258",2017,"12700"
"santander","Timber Lodge, Queen Elizabeth Olympic Park",787,"51.546805","-0.014691","35","38.21","10918",2017,"10634"
"santander","Southampton Place, Holborn",162,"51.517607","-0.121328","20","18.36","13931",2017,"14675"
"santander","Fire Brigade Pier, Vauxhall",387,"51.4937","-0.121394","29","20.49","17741",2017,"14522"
"santander","Lansdowne Walk, Ladbroke Grove",543,"51.509591","-0.204666","21","20.31","3190",2017,"2570"
"santander","Southwick Street, Paddington",265,"51.515953","-0.169249","17","19.86","13060",2017,"12085"
